subject_id,teacher_id
7,7
86,9
32,9
51,13
91,14
84,14
35,19
5,19
18,19
86,19
35,20
5,20
86,20
51,21
4,23
4,25
76,29
22,31
35,31
71,34
7,35
60,38
102,38
83,44
4,46
35,47
5,47
18,47
86,47
99,47
80,49
18,51
86,53
91,55
84,55
51,56
58,60
26,64
58,65
51,69
24,70
8,75
5,78
51,80
83,81
84,84
97,86
114,86
59,86
22,89
70,89
22,90
47,92
84,99
14,101
35,101
5,101
57,102
7,104
71,107
114,107
58,111
83,113
48,114
104,116
111,116
86,119
77,119
41,119
22,122
118,128
84,129
5,130
16,130
35,131
16,134
60,136
35,139
5,139
86,139
18,139
35,140
5,140
18,140
86,140
16,140
59,141
86,141
7,144
115,144
35,145
5,145
10,148
35,153
5,153
99,154
53,157
50,157
6,157
7,167
104,168
44,169
86,173
86,181
77,181
7,183
51,185
4,190
34,190
51,192
52,192
35,196
5,196
93,196
84,198
35,201
5,201
2,202
77,202
51,204
12,204
35,206
5,206
97,207
84,209
51,216
22,220
22,222
84,227
78,227
78,228
51,229
11,231
102,231
22,238
47,240
52,243
91,245
61,247
38,248
35,249
32,250
104,251
86,253
17,253
59,253
72,259
96,259
51,260
84,262
22,263
30,269
22,270
35,272
5,272
18,272
66,275
71,276
35,281
18,281
32,283
77,283
84,290
84,291
51,292
7,293
35,294
5,294
18,294
17,294
3,294
51,297
63,297
35,299
5,299
18,299
14,305
35,306
5,306
35,308
5,308
35,312
5,312
18,312
22,314
86,316
77,316
32,316
3,318
86,318
94,319
119,321
35,326
5,326
93,326
86,326
18,326
77,326
32,326
22,329
86,330
119,332
5,337
18,338
35,340
18,340
22,341
4,345
87,345
59,345
76,345
14,347
51,348
51,349
10,350
7,351
5,353
5,357
35,357
116,357
99,360
107,362
10,363
51,366
41,367
41,369
22,372
85,374
16,375
18,378
35,378
17,379
59,379
7,381
24,381
7,382
22,383
51,384
22,385
35,387
5,387
18,387
86,390
32,390
77,390
22,393
35,399
5,399
51,401
4,404
71,404
91,405
18,406
86,406
35,406
41,408
84,411
46,411
84,412
86,416
18,416
93,416
22,423
35,424
51,426
51,430
1,433
